epoch,total_loss,final_l1,final_ssim,final_boundary,coarse_l1,coarse_ssim,alpha,beta,gamma,learning_rate,epoch_seconds
1,0.20823390615674164,0.02329152054959335,0.7616543504481132,0.008862148873651257,0.023826363541257497,0.7490048425701948,0.10035833716392517,0.10318583250045776,0.10218213498592377,0.00019981253920068581,246.7835397720337
2,0.17446772694014587,0.020340334166450282,0.7994593402514091,0.008761858143575059,0.020449946421341826,0.7964504108979151,0.10030383616685867,0.1036197617650032,0.10186092555522919,0.0001992508966248754,239.54753494262695
3,0.1709921392540519,0.020026150743405406,0.8032436471719008,0.00872792222832616,0.020026357752235175,0.8017999809521895,0.1000991091132164,0.10382460057735443,0.10178720206022263,0.00019831728881922545,276.1959285736084
4,0.16975571225182368,0.019840352629454664,0.804584792542916,0.008705209047855952,0.019782501292558242,0.8035979581566958,0.09993643313646317,0.10400589555501938,0.10175873339176178,0.00019701540030721995,296.2416868209839
5,0.16930905730965046,0.019816431815986735,0.8050898189154955,0.008724817212742682,0.019775281759659546,0.8042555038745587,0.09988360852003098,0.10412836074829102,0.10182661563158035,0.00019535036904803958,296.3681671619415
6,0.1677144438888018,0.01960460199132705,0.8068945103539871,0.008683202991512819,0.019542636802921502,0.8062508911467515,0.09971467405557632,0.10427701473236084,0.10179838538169861,0.00019332876615938386,225.70269584655762
7,0.16760241766102038,0.019663059079231552,0.8070342114338508,0.008701428634007103,0.01959282640600577,0.8064562441064761,0.0996399000287056,0.10438679158687592,0.10175065696239471,0.00019095856998427185,263.8445448875427
8,0.16670735154587488,0.019516492646653207,0.8080325622971242,0.008665092553621015,0.019454578699794813,0.8076026050517192,0.09956225007772446,0.10448410362005234,0.10158488154411316,0.000188249134604167,236.72890853881836
9,0.16692314632236957,0.019559954173074892,0.8077888454955358,0.008663736729739377,0.019500898441765457,0.8073447626943772,0.09947604686021805,0.10465390235185623,0.10141757875680923,0.00018521115292269142,234.5590717792511
10,0.16613344451269277,0.019458077517517196,0.8086957426025317,0.00866356513221175,0.019396712860235803,0.8082970150388205,0.09936659038066864,0.10473636537790298,0.10147617012262344,0.00018185661446562,228.56423902511597
11,0.1663435695119775,0.019486316508398605,0.8084528437027565,0.008674429416155012,0.019430486754012797,0.8080669866731534,0.0993243008852005,0.10486184805631638,0.10143917798995972,0.00017819875806369996,224.55313920974731
12,0.16595734575620064,0.01943250097638856,0.8088948510587215,0.008665205630509612,0.019380479945371357,0.8085267205077868,0.09930706024169922,0.1049942746758461,0.10144918411970139,0.00017425201960503408,228.57019972801208
13,0.16520062223649942,0.019422313372174708,0.8097828761316263,0.008658692089375109,0.019349297321437357,0.8094605020032479,0.09914791584014893,0.10506829619407654,0.1012311726808548,0.0001700319750632254,223.06236934661865
14,0.16550572033111866,0.019445834837209148,0.8094322020617816,0.00867396759120031,0.01939657861814619,0.8090964320760506,0.09912937134504318,0.1051570326089859,0.1011175736784935,0.0001655552790261255,263.075227022171
15,0.1649343102883834,0.019309015269391237,0.8100720077179946,0.008640257521675757,0.01925878977098574,0.8097371442386737,0.09907243400812149,0.10523315519094467,0.10103301703929901,0.00016083959896778495,223.00798916816711
16,0.16495081236442694,0.019323842044776447,0.8100516807001371,0.008648328515790546,0.01926699191099033,0.809748953466232,0.09905143082141876,0.10532089322805405,0.10078912228345871,0.00015590354552300466,224.24391555786133
17,0.16451764599635052,0.019224182741107564,0.8105437741256677,0.008624426288924252,0.01918224400589959,0.8102138256797424,0.09896209836006165,0.10543990135192871,0.10087445378303528,0.00015076659903966294,219.54565453529358
18,0.16449618872541646,0.019283731172506053,0.810584578032677,0.008648916441821851,0.019236081758012565,0.8102761867527778,0.09895893186330795,0.10549946129322052,0.10077764093875885,0.0001454490326986819,213.39885187149048
19,0.1643233954619903,0.019251538696698843,0.8107732320061096,0.0086321459174192,0.019205870933365076,0.8105017442542773,0.0988900437951088,0.10553234070539474,0.10065975785255432,0.0001399718325050444,214.3794333934784
20,0.16431842966435048,0.0192612543863316,0.8107828599902299,0.008631831686496018,0.01921638358527651,0.8105036517748466,0.09883373975753784,0.10558393597602844,0.10060586780309677,0.00013435661446561999,234.98707509040833
21,0.16469649407439507,0.019361272165909982,0.8103607514729867,0.008671795337711676,0.01931862000984928,0.810107532544778,0.09884404391050339,0.10573233664035797,0.10054231435060501,0.0001286255392806612,234.39339685440063
22,0.16419385952445176,0.01922189644537866,0.810917572849072,0.008625839913460928,0.019181116549477267,0.8106561757624149,0.09884166717529297,0.10573387891054153,0.10061139613389969,0.00012280122488564387,227.22722482681274
23,0.16403605045320896,0.019253077102789225,0.811118297622754,0.008644487905817537,0.019212567479385493,0.8108466237783432,0.09877705574035645,0.10581213980913162,0.1006498783826828,0.00011690665718860895,220.94772934913635
24,0.16395331401951038,0.019199543622716402,0.8111943474182716,0.008632643790378307,0.01915286578363381,0.8109617164501777,0.09878786653280258,0.1058918908238411,0.100486159324646,0.0001109650993552848,232.3369495868683
25,0.16365932813630654,0.01914189329209666,0.811527568846941,0.008612501859897748,0.019092520137424938,0.8112862944602967,0.09870518743991852,0.10590186715126038,0.1004028394818306,0.00010500000000000002,239.5837481021881
